Нидерланды,Амстердам
Андорра,Андорра-ла-Велья
Греция,Афины
Сербия,Белград
Германия,Берлин
Швейцария,Отсутствует - дефакто Берн
Словакия,Братислава
Бельгия,Брюссель
Венгрия,Будапешт
Румыния,Бухарест
Лихтенштейн,Вадуц
Мальта,Валлетта
Польша,Варшава
Ватикан,Ватикан
Австрия,Вена
Литва,Вильнюс
Ирландия,Дублин
Хорватия,Загреб
Украина,Киев
Молдавия,Кишинёв
Дания,Копенгаген
Португалия,Лиссабон
Великобритания,Лондон
Словения,Любляна
Люксембург,Люксембург
Испания,Мадрид
Белоруссия,Минск
Монако,Монако
Россия,Москва
Норвегия,Осло
Франция,Париж
Черногория,Подгорица
Чехия,Прага
Исландия,Рейкьявик
Латвия,Рига
Италия,Рим
Сан-Марино,Сан-Марино
БоснияиГерцеговина,Сараево
СевернаяМакедония,Скопье
Болгария,София
Швеция,Стокгольм
Эстония,Таллин
Албания,Тирана
Финляндия,Хельсинки
ДонецкаяНароднаяРеспублика,Донецк
ЛуганскаяНароднаяРеспублика,Луганск
РеспубликаКосово,Приштина
ПриднестровскаяМолдавскаяРеспублика,Тирасполь
ОАЭ,Абу-Даби
Иордания,Амман
Турция,Анкара
Туркмения,Ашхабад
Ирак,Багдад
Азербайджан,Баку
Таиланд,Бангкок
Бруней,Бандар-Сери-Бегаван
Ливан,Бейрут
Киргизия,Бишкек
Лаос,Вьентьян
Бангладеш,Дакка
Сирия,Дамаск
Индия,Дели(Нью-Дели)
Индонезия,Джакарта
ВосточныйТимор,Дили
Катар,Доха
Таджикистан,Душанбе
Армения,Ереван
Израиль,Иерусалим
Пакистан,Исламабад
Афганистан,Кабул
Непал,Катманду
Малайзия,Куала-Лумпур
Мальдивы,Мале
Бахрейн,Манама
Филиппины,Манила
Оман,Маскат
Мьянма,Нейпьидо
Кипр,Никосия
Казахстан,Нур-Султан
Китай,Пекин
Камбоджа,Пномпень
КНДР,Пхеньян
Йемен,Сана
РеспубликаКорея,Сеул
Сингапур,Сингапур
Узбекистан,Ташкент
Грузия,Тбилиси
Иран,Тегеран
Япония,Токио
Бутан,Тхимпху
Монголия,Улан-Батор
Вьетнам,Ханой
Шри-Ланка,Шри-Джаяварденепура-Котте
Кувейт,Эль-Кувейт
СаудовскаяАравия,Эр-Рияд
АзадКашмир,Музаффарабад
СеверныйКипр,Никосия
ГосударствоПалестина,Рамалла
НКР,Степанакерт
Абхазия,Сухум
КитайскаяРеспублика,Тайбэй
ЮжнаяОсетия,Цхинвал
Нигерия,Абуджа
Эфиопия,Аддис-Абеба
Гана,Аккра
Алжир,Алжир
Мадагаскар,Антананариву
Эритрея,Асмэра
Мали,Бамако
ЦАР,Банги
Гамбия,Банжул
Гвинея-Бисау,Бисау
РеспубликаКонго,Браззавиль
СейшельскиеОстрова,Виктория
Намибия,Виндхук
Ботсвана,Габороне
Бурунди,Гитега
Сенегал,Дакар
Джибути,Джибути
ЮжныйСудан,Джуба
Танзания,Додома
Египет,Каир
Уганда,Кампала
Руанда,Кигали
ДРКонго,Киншаса
Гвинея,Конакри
Габон,Либревиль
Малави,Лилонгве
Того,Ломе
Ангола,Луанда
Замбия,Лусака
ЭкваториальнаяГвинея,Малабо
Мозамбик,Мапуту
Лесото,Масеру
Эсватини,Мбабане
Сомали,Могадишо
Либерия,Монровия
Коморы,Морони
Кения,Найроби
Чад,Нджамена
Нигер,Ниамей
Мавритания,Нуакшот
Маврикий,Порт-Луи
Бенин,Порто-Ново
Кабо-Верде,Прая
ЮАР,Претория
Марокко,Рабат
Сан-ТомеиПринсипи,Сан-Томе
Ливия,Триполи
Тунис,Тунис
Буркина-Фасо,Уагадугу
Сьерра-Леоне,Фритаун
Зимбабве,Хараре
Судан,Хартум
Кот-д’Ивуар,Ямусукро
Камерун,Яунде
Сомалиленд,Харгейса
СахарскаяАрабскаяДемократическаяРеспублика[6],Тифарити
ФедеративнаяРеспубликаАмбазония,Буэа
Парагвай,Асунсьон
Сент-КитсиНевис,Бастер
Белиз,Бельмопан
Колумбия,Богота
Бразилия,Бразилиа
Барбадос,Бриджтаун
Аргентина,Буэнос-Айрес
США,Вашингтон
Куба,Гавана
Гватемала,Гватемала
Гайана,Джорджтаун
Венесуэла,Каракас
Сент-Люсия,Кастри
Сент-ВинсентиГренадины,Кингстаун
Ямайка,Кингстон
Эквадор,Кито
Перу,Лима
Никарагуа,Манагуа
Мексика,Мехико
Уругвай,Монтевидео
БагамскиеОстрова,Нассау
Канада,Оттава
Панама,Панама
Суринам,Парамарибо
Гаити,Порт-о-Пренс
ТринидадиТобаго,Порт-оф-Спейн
Доминика,Розо
Сальвадор,Сан-Сальвадор
Коста-Рика,Сан-Хосе
ДоминиканскаяРеспублика,Санто-Доминго
Чили,Сантьяго
АнтигуаиБарбуда,Сент-Джонс
Гренада,Сент-Джорджес
Боливия,Сукре
Гондурас,Тегусигальпа
Самоа,Апиа
НоваяЗеландия,Веллингтон
Австралия,Канберра
МаршалловыОстрова,Маджуро
Палау,Нгерулмуд
Тонга,Нукуалофа
Микронезия,Паликир
Вануату,Порт-Вила
Папуа—НоваяГвинея,Порт-Морсби
Фиджи,Сува
Тувалу,Фунафути
СоломоновыОстрова,Хониара
Кирибати,ЮжнаяТарава(Баирики)
Науру,Официальнойс толицы нет
